,predicted_mean
2025-03-01,2.025848394212251
2025-04-01,2.0152026221364574
2025-05-01,1.9828949455104448
2025-06-01,1.9151357359319006
2025-07-01,1.834467013584361
2025-08-01,1.7080747497250257
2025-09-01,1.65975233514275
2025-10-01,1.7678224000294762
2025-11-01,1.4000793841955221
2025-12-01,1.6349683326054185
2026-01-01,1.4528502424655003
2026-02-01,1.8303591132303423
